Model,Encoded_Value,,,,,
T-150 Wagon,1535,,,,,
Taurus FFV,1536,,,,,
Taurus AWD,1537,,,,,
Taurus FFV AWD,1538,,,,,
Transit Connect Van,1539,,,,,
Transit Connect Van FFV,1540,,,,,
Transit Connect Wagon LWB,1541,,,,,
Transit Connect Wagon LWB FFV,1542,,,,,
G70,1543,,,,,
G70 AWD,1544,,,,,
Acadia,1545,,,,,
Acadia AWD,1546,,,,,
Canyon,1547,,,,,
Canyon 4WD,1548,,,,,
Sierra,1549,,,,,
Sierra FFV,1550,,,,,
Sierra 4WD,1551,,,,,
Sierra 4WD FFV,1552,,,,,
Sierra 4WD AT4,1553,,,,,
Sierra LTD,1554,,,,,
Sierra LTD 4WD,1555,,,,,
Terrain,1556,,,,,
Terrain AWD,1557,,,,,
Yukon,1558,,,,,
Yukon FFV,1559,,,,,
Yukon 4WD,1560,,,,,
Yukon 4WD FFV,1561,,,,,
Yukon XL,1562,,,,,
Yukon XL FFV,1563,,,,,
Yukon XL 4WD,1564,,,,,
Yukon XL 4WD FFV,1565,,,,,
Accord,1566,,,,,
Accord Sport/Touring,1567,,,,,
Accord Hybrid,1568,,,,,
Civic Coupe,1569,,,,,
Civic Coupe Si,1570,,,,,
Civic Hatchback,1571,,,,,
Civic Hatchback Sport,1572,,,,,
Civic Sedan,1573,,,,,
Civic Sedan Si,1574,,,,,
Civic Type R,1575,,,,,
Fit,1576,,,,,
Insight EX,1577,,,,,
Insight Touring,1578,,,,,
Odyssey,1579,,,,,
Odyssey Touring,1580,,,,,
Passport AWD,1581,,,,,
Pilot,1582,,,,,
Pilot AWD,1583,,,,,
Ridgeline AWD,1584,,,,,
Accent,1585,,,,,
Elantra,1586,,,,,
Elantra GT,1587,,,,,
IONIQ Blue,1588,,,,,
Kona,1589,,,,,
Kona AWD,1590,,,,,
Santa Fe,1591,,,,,
Santa Fe AWD,1592,,,,,
Santa Fe XL,1593,,,,,
Santa Fe XL AWD,1594,,,,,
Santa Fe XL Ultimate AWD,1595,,,,,
Sonata,1596,,,,,
Sonata SE,1597,,,,,
Sonata Hybrid,1598,,,,,
Sonata Hybrid SE,1599,,,,,
Tucson,1600,,,,,
Tucson AWD,1601,,,,,
Veloster,1602,,,,,
Veloster N,1603,,,,,
Veloster Turbo,1604,,,,,
Q50 AWD Red Sport,1605,,,,,
Q60 AWD Red Sport,1606,,,,,
E-PACE P250,1607,,,,,
F-TYPE Convertible,1608,,,,,
F-TYPE Convertible R-Dynamic,1609,,,,,
F-TYPE Convertible R-Dynamic AWD,1610,,,,,
F-TYPE Coupe,1611,,,,,
F-TYPE Coupe R-Dynamic,1612,,,,,
F-TYPE Coupe R-Dynamic AWD,1613,,,,,
F-TYPE R AWD Convertible,1614,,,,,
F-TYPE R AWD Coupe,1615,,,,,
XJ R-Sport AWD,1616,,,,,
XJL Portfolio AWD,1617,,,,,
Cherokee,1618,,,,,
Cherokee 4X4 Active Drive I,1619,,,,,
Cherokee 4X4 Active Drive II,1620,,,,,
Cherokee 4X4 Active Drive Lock,1621,,,,,
Compass,1622,,,,,
Compass 4X4,1623,,,,,
Grand Cherokee 4X4,1624,,,,,
Grand Cherokee 4X4 EcoDiesel,1625,,,,,
Grand Cherokee 4X4 SRT,1626,,,,,
Grand Cherokee 4X4 Trackhawk,1627,,,,,
Renegade,1628,,,,,
Renegade 4X4,1629,,,,,
Renegade 4X4 Trailhawk,1630,,,,,
Wrangler JL 4X4,1631,,,,,
Wrangler JL Unlimited 4X4,1632,,,,,
Cadenza,1633,,,,,
Forte,1634,,,,,
Niro,1635,,,,,
Niro FE,1636,,,,,
Niro Touring,1637,,,,,
Optima,1638,,,,,
Optima Hybrid,1639,,,,,
Rio,1640,,,,,
Sedona,1641,,,,,
Sorento,1642,,,,,
Sorento AWD,1643,,,,,
Soul,1644,,,,,
Sportage,1645,,,,,
Sportage AWD,1646,,,,,
Stinger AWD,1647,,,,,
Aventador Coupe,1648,,,,,
Aventador Roadster,1649,,,,,
Huracan Coupe,1650,,,,,
Huracan Coupe AWD,1651,,,,,
Huracan Spyder,1652,,,,,
Huracan Spyder AWD,1653,,,,,
Huracan Performante Coupe,1654,,,,,
Huracan Performante Spyder,1655,,,,,
Urus,1656,,,,,
Discovery,1657,,,,,
Discovery TD6 Diesel,1658,,,,,
Discovery Sport,1659,,,,,
Range Rover 3.0,1660,,,,,
Range Rover TD6 Diesel,1661,,,,,
Range Rover 5.0 Supercharged,1662,,,,,
Range Rover SVAutobiography LWB,1663,,,,,
Range Rover Sport 3.0,1664,,,,,
Range Rover Sport TD6 Diesel,1665,,,,,
Range Rover Sport Supercharged,1666,,,,,
Range Rover Evoque,1667,,,,,
Range Rover Evoque Convertible,1668,,,,,
Range Rover Velar D180,1669,,,,,
Range Rover Velar P300,1670,,,,,
Range Rover Velar P380,1671,,,,,
ES 350 F SPORT,1672,,,,,
RX 450h L AWD,1673,,,,,
UX 200,1674,,,,,
UX 250h,1675,,,,,
UX 250h AWD,1676,,,,,
Continental AWD,1677,,,,,
MKT Livery AWD,1678,,,,,
MKZ Hybrid,1679,,,,,
Nautilus,1680,,,,,
Navigator 4X4,1681,,,,,
Ghibli,1682,,,,,
Ghibli S,1683,,,,,
Ghibli SQ4,1684,,,,,
GranTurismo Convertible,1685,,,,,
Levante,1686,,,,,
Levante S,1687,,,,,
Levante GTS,1688,,,,,
Levante Trofeo,1689,,,,,
Quattroporte S,1690,,,,,
Quattroporte SQ4,1691,,,,,
Quattroporte GTS,1692,,,,,
CX-5 Turbo 4WD,1693,,,,,
CX-5 Diesel 4WD,1694,,,,,
Mazda3 4-Door,1695,,,,,
Mazda3 4-Door (SIL),1696,,,,,
Mazda3 4-Door (Cylinder Deactivation),1697,,,,,
Mazda3 4-Door 4WD,1698,,,,,
Mazda3 5-Door,1699,,,,,
Mazda3 5-Door (SIL),1700,,,,,
Mazda3 5-Door 4WD,1701,,,,,
Mazda6,1702,,,,,
Mazda6 Turbo,1703,,,,,
A 220,1704,,,,,
A 220 4MATIC,1705,,,,,
A 250,1706,,,,,
A 250 4MATIC,1707,,,,,
AMG C 43 4MATIC Cabriolet,1708,,,,,
AMG C 43 4MATIC Coupe,1709,,,,,
AMG C 43 4MATIC Wagon,1710,,,,,
AMG C 63 S Cabriolet,1711,,,,,
AMG C 63 S Coupe,1712,,,,,
AMG CLS 53 4MATIC+,1713,,,,,
AMG E 53 4MATIC+,1714,,,,,
AMG E 53 4MATIC+ Cabriolet,1715,,,,,
AMG E 53 4MATIC+ Coupe,1716,,,,,
AMG E 53 4MATIC+ Wagon,1717,,,,,
AMG E 63 S 4MATIC+,1718,,,,,
AMG E 63 S 4MATIC+ Wagon,1719,,,,,
AMG GLC 43 4MATIC Coupe,1720,,,,,
AMG GLC 63 S 4MATIC+,1721,,,,,
AMG GLC 63 S 4MATIC+ Coupe,1722,,,,,
AMG GLE 43 4MATIC Coupe,1723,,,,,
AMG GLE 63 S 4MATIC Coupe,1724,,,,,
AMG GT 53 4MATIC+ Coupe,1725,,,,,
AMG GT 63 4MATIC+ Coupe,1726,,,,,
AMG GT 63 S 4MATIC+ Coupe,1727,,,,,
AMG GT C Coupe,1728,,,,,
AMG GT C Roadster,1729,,,,,
AMG GT R Coupe,1730,,,,,
AMG S 63 4MATIC+,1731,,,,,
AMG S 63 4MATIC+ Cabriolet,1732,,,,,
AMG S 63 4MATIC+ Coupe,1733,,,,,
AMG S 65 Cabriolet,1734,,,,,
AMG S 65 Coupe,1735,,,,,
C 300 4MATIC Cabriolet,1736,,,,,
C 300 4MATIC Coupe,1737,,,,,
C 300 4MATIC Wagon,1738,,,,,
CLS 450 4MATIC,1739,,,,,
E 450 4MATIC,1740,,,,,
E 450 4MATIC Cabriolet,1741,,,,,
E 450 4MATIC Coupe,1742,,,,,
E 450 4MATIC Wagon,1743,,,,,
GLC 300 4MATIC Coupe,1744,,,,,
Maybach S 560 4MATIC,1745,,,,,
Maybach S 650,1746,,,,,
Metris Cargo,1747,,,,,
Metris Cargo LWB,1748,,,,,
Metris Passenger,1749,,,,,
S 560 Cabriolet,1750,,,,,
Cooper 3 Door,1751,,,,,
Cooper 5 Door,1752,,,,,
Cooper Clubman ALL4,1753,,,,,
Cooper Convertible,1754,,,,,
Cooper Countryman ALL4,1755,,,,,
Cooper S 3 Door,1756,,,,,
Cooper S 5 Door,1757,,,,,
Cooper S Clubman ALL4,1758,,,,,
Cooper S Convertible,1759,,,,,
Cooper S Countryman ALL4,1760,,,,,
John Cooper Works 3 Door,1761,,,,,
John Cooper Works Clubman ALL4,1762,,,,,
John Cooper Works Convertible,1763,,,,,
John Cooper Works Countryman ALL4,1764,,,,,
Eclipse Cross 4WD,1765,,,,,
Mirage,1766,,,,,
Mirage G4,1767,,,,,
Outlander 4WD,1768,,,,,
370Z Roadster,1769,,,,,
Altima,1770,,,,,
Altima SR/Platinum,1771,,,,,
Altima AWD,1772,,,,,
Altima AWD SR/Platinum,1773,,,,,
Armada 4WD,1774,,,,,
Frontier,1775,,,,,
Frontier 4WD,1776,,,,,
Kicks,1777,,,,,
Maxima,1778,,,,,
Micra,1779,,,,,
Murano,1780,,,,,
Murano AWD,1781,,,,,
NV200 Cargo Van,1782,,,,,
Pathfinder,1783,,,,,
Pathfinder 4WD,1784,,,,,
Pathfinder 4WD Platinum,1785,,,,,
Qashqai,1786,,,,,
Qashqai AWD,1787,,,,,
Rogue,1788,,,,,
Rogue AWD,1789,,,,,
Sentra,1790,,,,,
Sentra (Turbo),1791,,,,,
Sentra Nismo,1792,,,,,
Titan,1793,,,,,
Titan 4WD,1794,,,,,
Titan 4WD Pro-4X,1795,,,,,
Versa,1796,,,,,
911 Carrera,1797,,,,,
911 Carrera Cabriolet,1798,,,,,
911 Carrera GTS,1799,,,,,
911 Carrera GTS Cabriolet,1800,,,,,
911 Carrera S,1801,,,,,
911 Carrera S Cabriolet,1802,,,,,
911 Carrera T,1803,,,,,
911 Carrera 4,1804,,,,,
911 Carrera 4 Cabriolet,1805,,,,,
911 Carrera 4 GTS,1806,,,,,
911 Carrera 4 GTS Cabriolet,1807,,,,,
911 Carrera 4S,1808,,,,,
911 Carrera 4S Cabriolet,1809,,,,,
911 GT2 RS,1810,,,,,
911 GT3 RS,1811,,,,,
911 GT3 Touring,1812,,,,,
911 Speedster,1813,,,,,
911 Targa 4,1814,,,,,
911 Targa 4 GTS,1815,,,,,
911 Targa 4S,1816,,,,,
911 Turbo,1817,,,,,
911 Turbo Cabriolet,1818,,,,,
911 Turbo S,1819,,,,,
911 Turbo S Cabriolet,1820,,,,,
911 Turbo S Exclusive Cabriolet,1821,,,,,
Boxster,1822,,,,,
Boxster GTS,1823,,,,,
Boxster S,1824,,,,,
Cayenne,1825,,,,,
Cayenne S,1826,,,,,
Cayenne Turbo,1827,,,,,
Cayman,1828,,,,,
Cayman GTS,1829,,,,,
Cayman S,1830,,,,,
Macan,1831,,,,,
Macan S,1832,,,,,
Panamera,1833,,,,,
Panamera 4,1834,,,,,
Panamera 4 Executive,1835,,,,,
Panamera 4 ST,1836,,,,,
Panamera 4S,1837,,,,,
Panamera 4S Executive,1838,,,,,
Panamera 4S ST,1839,,,,,
Panamera GTS,1840,,,,,
Panamera GTS ST,1841,,,,,
Panamera Turbo,1842,,,,,
Panamera Turbo Executive,1843,,,,,
Panamera Turbo ST,1844,,,,,
1500 eTorque,1845,,,,,
1500 HFE eTorque,1846,,,,,
1500 4X4 eTorque,1847,,,,,
1500 Classic EcoDiesel,1848,,,,,
1500 Classic FFV,1849,,,,,
1500 Classic,1850,,,,,
1500 Classic 4X4 EcoDiesel,1851,,,,,
1500 Classic 4X4 FFV,1852,,,,,
1500 Classic 4X4,1853,,,,,
ProMaster City,1854,,,,,
Cullinan,1855,,,,,
Dawn,1856,,,,,
Ghost,1857,,,,,
Ghost EWB,1858,,,,,
Phantom,1859,,,,,
Phantom EWB,1860,,,,,
Wraith,1861,,,,,
Ascent AWD,1862,,,,,
Crosstrek AWD,1863,,,,,
Forester AWD,1864,,,,,
Impreza 4-Door AWD,1865,,,,,
Impreza 5-Door AWD,1866,,,,,
Legacy AWD,1867,,,,,
Outback AWD,1868,,,,,
4Runner 4WD,1869,,,,,
4Runner 4WD (Part-Time 4WD),1870,,,,,
Avalon,1871,,,,,
Camry,1872,,,,,
Camry LE/SE,1873,,,,,
Camry XLE/XSE,1874,,,,,
Camry XSE,1875,,,,,
Camry Hybrid LE,1876,,,,,
Camry Hybrid XLE/SE,1877,,,,,
Corolla,1878,,,,,
Corolla LE Eco,1879,,,,,
Corolla Hatchback,1880,,,,,
Highlander,1881,,,,,
Highlander AWD,1882,,,,,
Highlander AWD (Start/Stop System),1883,,,,,
Highlander AWD LE,1884,,,,,
Highlander Hybrid AWD,1885,,,,,
Prius,1886,,,,,
Prius AWD,1887,,,,,
Prius c,1888,,,,,
RAV4 Hybrid AWD,1889,,,,,
Sequoia 4WD,1890,,,,,
Sienna,1891,,,,,
Sienna AWD,1892,,,,,
Tacoma,1893,,,,,
Tacoma 4WD,1894,,,,,
Tacoma 4WD D-Cab Off-Road,1895,,,,,
Tundra,1896,,,,,
Tundra 4WD,1897,,,,,
Yaris,1898,,,,,
Yaris (SIL),1899,,,,,
Yaris Hatchback,1900,,,,,
Arteon 4MOTION,1901,,,,,
Atlas,1902,,,,,
Atlas 4MOTION,1903,,,,,
Beetle,1904,,,,,
Beetle Convertible,1905,,,,,
Beetle Dune,1906,,,,,
Beetle Dune Convertible,1907,,,,,
Golf,1908,,,,,
Golf GTI,1909,,,,,
Golf R,1910,,,,,
Golf Alltrack,1911,,,,,
Golf SportWagen,1912,,,,,
Golf SportWagen 4MOTION,1913,,,,,
Jetta,1914,,,,,
Jetta GLI,1915,,,,,
Passat,1916,,,,,
Tiguan,1917,,,,,
Tiguan 4MOTION,1918,,,,,
XC40 T5 AWD,1919,,,,,
TLX SH-AWD A-SPEC/Limited Edition,1920,,,,,
A6 allroad,1921,,,,,
R8 Coupe,1922,,,,,
R8 Spyder,1923,,,,,
Continental GT,1924,,,,,
Continental GT Convertible,1925,,,,,
Flying Spur,1926,,,,,
230i Cabriolet,1927,,,,,
230i Coupe,1928,,,,,
330i xDrive Sedan,1929,,,,,
430i Coupe,1930,,,,,
530i xDrive Sedan,1931,,,,,
540i xDrive Sedan,1932,,,,,
750i xDrive Sedan,1933,,,,,
750Li xDrive Sedan,1934,,,,,
M340i xDrive Sedan,1935,,,,,
M5 Sedan,1936,,,,,
M550i xDrive Sedan,1937,,,,,
M760i xDrive Sedan,1938,,,,,
M8 Cabriolet,1939,,,,,
M8 Cabriolet Competition,1940,,,,,
M8 Coupe,1941,,,,,
M8 Coupe Competition,1942,,,,,
M8 Gran Coupe,1943,,,,,
M8 Gran Coupe Competition,1944,,,,,
M850i xDrive Gran Coupe,1945,,,,,
X2 M35i,1946,,,,,
X3 M,1947,,,,,
X3 M Competition,1948,,,,,
X4 M,1949,,,,,
X4 M Competition,1950,,,,,
X5 M50i,1951,,,,,
X6 xDrive40i,1952,,,,,
X6 M50i,1953,,,,,
X7 M50i,1954,,,,,
Z4 sDrive30i,1955,,,,,
Z4 M40i,1956,,,,,
Encore GX,1957,,,,,
Encore GX AWD,1958,,,,,
CT4,1959,,,,,
CT4 AWD,1960,,,,,
CT4-V,1961,,,,,
CT4-V AWD,1962,,,,,
CT5,1963,,,,,
CT5 AWD,1964,,,,,
CT5-V,1965,,,,,
CT5-V AWD,1966,,,,,
XT6 AWD,1967,,,,,
Silverado WT,1968,,,,,
Silverado WT 4WD,1969,,,,,
Silverado 4WD Custom Trail Boss,1970,,,,,
Silverado 4WD LT Trail Boss,1971,,,,,
Trax AWD,1972,,,,,
Voyager (Stop-Start),1973,,,,,
Challenger AWD,1974,,,,,
Challenger Widebody (MDS),1975,,,,,
Challenger SRT Hellcat Widebody,1976,,,,,
Charger Widebody (MDS),1977,,,,,
Charger SRT Hellcat Widebody,1978,,,,,
Grand Caravan,1979,,,,,
Escape Hybrid,1980,,,,,
Escape Hybrid AWD,1981,,,,,
Explorer Hybrid AWD,1982,,,,,
Mustang Convertible (Performance Pkg),1983,,,,,
Shelby GT500 Mustang,1984,,,,,
T-150 Wagon FFV,1985,,,,,
T-150 Wagon FFV 4WD,1986,,,,,
Transit Connect Van LWB,1987,,,,,
Sierra WT,1988,,,,,
Sierra WT 4WD,1989,,,,,
Insight EX/Touring,1990,,,,,
Palisade,1991,,,,,
Palisade AWD,1992,,,,,
Venue,1993,,,,,
E-PACE P300,1994,,,,,
F-PACE 30t,1995,,,,,
F-PACE S,1996,,,,,
F-PACE SVR,1997,,,,,
F-TYPE P300 Convertible,1998,,,,,
F-TYPE SVR AWD Convertible,1999,,,,,
F-TYPE P300 Coupe,2000,,,,,
F-TYPE SVR AWD Coupe,2001,,,,,
XE P250 AWD,2002,,,,,
XE P300 AWD,2003,,,,,
XF 30t AWD,2004,,,,,
XF S AWD,2005,,,,,
Gladiator 4X4,2006,,,,,
Wrangler 4X4,2007,,,,,
Wrangler 4X4 eTorque,2008,,,,,
Wrangler Unlimited 4X4,2009,,,,,
Wrangler Unlimited 4X4 eTorque,2010,,,,,
Wrangler Unlimited 4X4 EcoDiesel,2011,,,,,
Forte 5,2012,,,,,
Telluride AWD,2013,,,,,
Discovery Sport P250,2014,,,,,
Discovery Sport P290,2015,,,,,
Range Rover 5.0 Supercharged LWB,2016,,,,,
Range Rover SVAutobiography Dynamic,2017,,,,,
Range Rover Sport SVR,2018,,,,,
Range Rover Evoque P250,2019,,,,,
Range Rover Evoque P300,2020,,,,,
Range Rover Velar P250,2021,,,,,
Range Rover Velar P340,2022,,,,,
Range Rover Velar SVAutobiography Dynamic,2023,,,,,
Aviator,2024,,,,,
Corsair AWD,2025,,,,,
Nautilus AWD,2026,,,,,
Ghibli S Q4,2027,,,,,
Quattroporte S Q4,2028,,,,,
CX-3 (SIL),2029,,,,,
CX-30,2030,,,,,
CX-30 4WD,2031,,,,,
CX-30 4WD (Cylinder Deactivation),2032,,,,,
Sentra SR,2033,,,,,
1500 EcoDiesel,2034,,,,,
1500 4X4 EcoDiesel,2035,,,,,
Cullinan Black Badge,2036,,,,,
Camry TRD,2037,,,,,
Camry AWD LE/SE,2038,,,,,
Camry AWD XLE/XSE,2039,,,,,
Corolla XLE,2040,,,,,
Corolla XSE,2041,,,,,
Corolla Hybrid,2042,,,,,
GR Supra,2043,,,,,
Highlander Hybrid AWD Limited/Platinum,2044,,,,,
RAV4 AWD TRD Off-Road,2045,,,,,
Tacoma 4WD D-Cab TRD Off-Road/Pro,2046,,,,,
Atlas Cross Sport 4MOTION,2047,,,,,
XC40 T4 AWD,2048,,,,,
